Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3Z5lD2q7QQXrz0kb4TImfn,Main Tera Main Tera Lofi Flip,Main Tera Main Tera Lofi Flip,Swattrex,12/21/2021,317899,,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,lo-fi,Rex,0.471,0.327,8,-18.382,1,0.0395,0.74,0.332,0.103,0.354,108.728,4
spotify:track:6bdpj89aYEBjhpsenXAsmO,Enna Sona,OK Jaanu (Original Motion Picture Soundtrack),A.R. Rahman;Arijit Singh,1/4/2017,213632,72,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"tamil pop,kollywood,bollywood,sufi,hindi pop,desi,bangla pop",Sony Music Entertainment India Pvt. Ltd.,0.717,0.415,7,-9.875,0,0.0302,0.637,0.00000143,0.0976,0.379,100.021,4
spotify:track:6vo7Y1iWyZvpjvFbf6BiZ5,,,,,,,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,,,0.57,0.55,10,-8.343,1,0.035,0.524,0.0000373,0.0921,0.435,117.999,4
spotify:track:1We89SAonMk70QBbfXERxa,,,,,,,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,,,0.62,0.627,7,-6.187,1,0.0307,0.497,0,0.133,0.557,82.008,4
spotify:track:2tjWCe2W7sgvS3C8NHcdtI,"Duniyaa (From ""Luka Chuppi"")","Duniyaa (From ""Luka Chuppi"")",Akhil;Dhvani Bhanushali;Kunaal Vermaa;Abhijit Vaghani,2/22/2019,222500,69,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"punjabi pop,hindi pop,bollywood,desi pop,desi,sufi",T-Series,0.435,0.658,7,-5.949,0,0.0368,0.699,0,0.125,0.524,77.17,4
spotify:track:2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh;Mithoon,5/31/2019,284779,78,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"hindi pop,bollywood,desi,bangla pop",T-Series,0.427,0.396,11,-7.556,1,0.0366,0.736,0,0.11,0.306,70.368,4
spotify:track:0l6g8Z8mqGbGXFOjigYetD,Hawayein,Jab Harry Met Sejal (Original Motion Picture Soundtrack),Pritam;Arijit Singh,8/3/2017,289999,75,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"bollywood,hindi pop,desi,bangla pop",Sony Music Entertainment India Pvt. Ltd.,0.606,0.601,2,-5.576,1,0.0283,0.796,0.000511,0.127,0.453,125.961,4
spotify:track:4wIWWEhbdgKAxhR68eE0Ye,"Mast Magan (From ""2 States"")",Groove With Arijit Singh,Arijit Singh;Chinmayi,5/22/2019,280161,66,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"hindi pop,bollywood,desi,bangla pop,tamil pop,tollywood,telugu pop,marathi pop,kollywood",T-Series,0.659,0.774,7,-7.014,1,0.0372,0.606,0.000333,0.185,0.883,82.995,4
spotify:track:6k3XXCE1ZzwevQlxf8dNaw,Love You Zindagi,Dear Zindagi (Original Motion Picture Soundtrack),Amit Trivedi;Jasleen Royal;Kausar Munir,11/15/2016,232505,63,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,10/18/2022,"bollywood,hindi pop,gujarati garba,desi,gujarati pop,hindi indie,qawwali,sufi",Sony Music Entertainment India Pvt. Ltd.,0.688,0.701,3,-7.505,1,0.0298,0.06,0.0301,0.271,0.385,110.019,4
spotify:track:4c8erEn1DjLoDp0CRLkNnq,,,,,,,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,10/18/2022,,,0.82,0.907,7,-4.517,1,0.0607,0.655,0.0000485,0.0816,0.834,126.062,4
spotify:track:2PvaburAUlhNHxVhw5lvOq,"Humdard (From ""Ek Villain"")",Ultimate Love Songs - Arijit Singh,Arijit Singh,5/19/2020,260590,69,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"hindi pop,bollywood,desi,bangla pop",T-Series,0.575,0.541,5,-6.45,1,0.0237,0.759,0,0.111,0.27,87.022,4
spotify:track:0ojpEubhy4JNeVftmVuiN7,Pehla Pyaar,Kabir Singh,Armaan Malik;Vishal Mishra;Irshad Kamil,6/14/2019,272532,70,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"bollywood,hindi pop,kannada pop,tollywood,telugu pop,desi",T-Series,0.607,0.713,4,-5.105,1,0.03,0.56,0.0000498,0.101,0.611,124.868,4
spotify:track:52itZ0w0CydihB2JCZEIft,Pee Loon,Once Upon A Time In Mumbaai,Pritam;Mohit Chauhan;Irshad Kamil,6/29/2010,285686,74,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"bollywood,hindi pop,desi,sufi",T-Series,0.656,0.721,8,-5.064,1,0.0364,0.277,0.000139,0.188,0.883,83.95,4
spotify:track:2IoZMG3RqiTmsy7Li3zGFg,"Mere Sohneya (From ""Kabir Singh"")","Mere Sohneya (From ""Kabir Singh"")",Sachet Tandon;Parampara Tandon;Sachet-Parampara,6/6/2019,193355,72,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"bhajan,hindi pop,devotional,bollywood,desi pop",T-Series,0.376,0.643,9,-5.713,1,0.0411,0.558,0,0.217,0.646,136.224,5
spotify:track:1y1rQTkWmrZdJmjwuK07GC,"Kaise Hua (From ""Kabir Singh"")","Kaise Hua (From ""Kabir Singh"")",Vishal Mishra;Manoj Muntashir,6/13/2019,234722,73,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"bollywood,hindi pop,bhajan,devotional",T-Series,0.385,0.464,2,-6.975,1,0.0404,0.452,0,0.109,0.15,137.839,4
spotify:track:6h09y5UH6sDRERJALlaJPi,"Jeena Jeena (From ""Badlapur"")","Jeena Jeena (From ""Badlapur"")",Atif Aslam,1/15/2015,228968,,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"bollywood,hindi pop,desi,sufi,qawwali",Eros Now Music,0.676,0.319,5,-9.201,1,0.0279,0.783,0,0.117,0.565,105.002,4
spotify:track:1smFN2CLqGROu0J0UyvDfL,Shayad,Love Aaj Kal (Original Motion Picture Soundtrack),Pritam;Arijit Singh,2/14/2020,247941,75,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"bollywood,hindi pop,desi,bangla pop",Sony Music Entertainment India Pvt. Ltd.,0.483,0.468,8,-7.642,1,0.0341,0.784,0,0.152,0.319,135.875,4
spotify:track:6FjbAnaPRPwiP3sciEYctO,Raabta,Agent Vinod,Pritam;Arijit Singh,2/24/2012,243578,76,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"bollywood,hindi pop,desi,bangla pop",T-Series,0.657,0.581,0,-8.108,1,0.0298,0.699,0.0000182,0.116,0.323,118.037,4
spotify:track:7eQl3Yqv35ioqUfveKHitE,Tum Se Hi,Jab We Met,Pritam;Mohit Chauhan;Irshad Kamil,9/21/2007,321225,77,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"bollywood,hindi pop,desi,sufi",T-Series,0.609,0.538,6,-7.842,1,0.0273,0.328,0,0.125,0.608,130.015,4
spotify:track:4e9dIemIXO8Tzg0k4aWujk,"Raabta (Title Track) [From ""Raabta""]","Raabta (Title Track) [From ""Raabta""]",Pritam;Arijit Singh;Nikhita Gandhi,5/2/2017,297158,56,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"bollywood,hindi pop,desi,bangla pop",T-Series,0.636,0.701,5,-6.825,1,0.0363,0.414,0,0.106,0.352,113.886,4
spotify:track:1ai3itvPFcWilE9NX0JTCf,Mera Mann Kehne Laga,Latest Songs Of Ayushmann Khurrana,Falak Shabbir,9/12/2017,227334,59,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,bollywood,T-Series,0.46,0.444,7,-6.217,1,0.123,0.714,0.0000265,0.0881,0.7,74.977,4
spotify:track:4nydCE0L7G13XLKPzvLlNs,,,,,,,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,,,0.634,0.378,9,-8.367,1,0.0295,0.566,0,0.0919,0.527,123.949,4
spotify:track:5NdVbWjNxxzv3SMxtINLu2,"Nai Lagda (From ""Notebook"")","Nai Lagda (From ""Notebook"")",Vishal Mishra;Asees Kaur,2/28/2019,287106,57,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"bollywood,hindi pop,gujarati garba,desi",T-Series,0.514,0.548,2,-7.145,1,0.0381,0.669,0,0.0849,0.383,153.794,4
spotify:track:3phw912iJRhtMfsdJ1k3Sr,"Darasal (From ""Raabta"")","Darasal (From ""Raabta"")",Atif Aslam;Jam8,6/3/2017,274354,60,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"bollywood,hindi pop,desi,sufi,qawwali",T-Series,0.705,0.422,0,-7.375,1,0.0299,0.793,0,0.0895,0.482,117.948,4
spotify:track:6N5WkgPIDoTdbCXyyIIKAv,tere bina,tere bina,Zaeden,9/5/2019,157245,55,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"indian indie,hindi indie",Universal Music India Pvt Ltd.,0.889,0.341,7,-7.909,1,0.0424,0.117,0.0000037,0.0734,0.942,118.003,4
spotify:track:5lrA2NzUxmBjKr2tCZfMtl,"Ik Vaari Aa (From ""Raabta"")","Ik Vaari Aa (From ""Raabta"")",Pritam;Arijit Singh,4/21/2017,274687,62,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"bollywood,hindi pop,desi,bangla pop",T-Series,0.512,0.752,4,-4.857,0,0.0534,0.305,0,0.708,0.428,127.965,4
spotify:track:7e6qTHVfRdaYsio90s1fHC,Ik Junoon (Paint It Red),Zindagi Na Milegi Dobara,Vishal Dadlani,6/6/2011,299119,59,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,10/18/2022,"bollywood,desi,hindi pop",T-Series,0.79,0.848,2,-7.798,1,0.0508,0.364,0.00147,0.148,0.641,127.034,4
spotify:track:0wr1v0WSbEnmOm0B22yYHz,tere bina - Acoustic,tere bina (Acoustic),Zaeden;Jonita Gandhi,10/23/2019,132000,43,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"indian indie,hindi indie,bollywood,tamil pop,kollywood,hindi pop,desi,tamil dance",Universal Music India Pvt Ltd.,0.838,0.251,10,-9.992,1,0.0503,0.714,0,0.0459,0.893,107.972,4
spotify:track:6preZS0pC2OdHPZAOwcoM9,,,,,,,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,,,0.482,0.694,0,-5.368,1,0.042,0.452,0,0.11,0.573,90.196,4
spotify:track:0Qxis7LXvwqhCO2qOKCmLX,Befikar,Befikar,Tanzeel Khan;Aashna Hegde,8/31/2020,204923,47,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"hindi indie,indian indie,desi pop",Tanzeel Khan,0.7,0.502,11,-8.958,1,0.0425,0.603,0,0.08,0.407,129.977,4
spotify:track:2cPUB8EOT6AfJ8oxhyoNXL,Ye Tune Kya Kiya,Once Upon Ay Time In Mumbai Dobaara !,Pritam;Javed Bashir,7/22/2013,314239,80,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"bollywood,hindi pop,desi,sufi,qawwali",T-Series,0.578,0.798,7,-6.01,1,0.0699,0.58,0,0.111,0.728,91.96,4
spotify:track:5b9x5sRIzAgXQw0dhGORO1,Tu Hi Hai,Dear Zindagi (Original Motion Picture Soundtrack),Amit Trivedi;Arijit Singh;Kausar Munir,11/15/2016,199643,56,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"bollywood,hindi pop,gujarati garba,desi,bangla pop,qawwali,sufi",Sony Music Entertainment India Pvt. Ltd.,0.707,0.501,4,-7.389,1,0.0372,0.387,0.00000181,0.095,0.542,93.978,4
spotify:track:4qVStkAhz8A61r7bfLqPvM,,,,,,,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,,,0.577,0.812,8,-4.801,1,0.0535,0.158,0,0.25,0.758,160.1,3
spotify:track:4iFPsNzNV7V9KJgcOX7TEO,Tu Jaane Na,Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),Pritam;Atif Aslam,11/6/2009,341933,73,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"bollywood,hindi pop,desi,sufi,qawwali",Tips Music Limited,0.702,0.86,7,-3.969,1,0.0345,0.361,0.00000133,0.133,0.829,120.042,4
spotify:track:1wnozUBSe7OMpmZiTPJC5j,"Tum Tak (From ""Raanjhanaa"")",Raanjhanaa (Original Motion Picture Soundtrack),A.R. Rahman;Javed Ali;KIRTI SAGATHIA;Pooja AV,5/31/2013,304466,73,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"tamil pop,kollywood,bollywood,sufi,hindi pop,desi,qawwali,desi pop",Sony Music Entertainment India Pvt. Ltd.,0.72,0.621,2,-9.773,1,0.0491,0.676,0,0.0679,0.566,114.987,4
spotify:track:1tPPINau3vBP8Q89JTn0ER,Saudebazi (Encore),Aakrosh,Pritam;Javed Ali,9/18/2010,354862,67,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"bollywood,hindi pop,desi,sufi,qawwali,desi pop",T-Series,0.69,0.73,5,-6.587,1,0.0307,0.121,0,0.346,0.779,113.967,4
spotify:track:3vjkllvtOIKpVvXSWsu1ta,Tu Hai,Mohenjo Daro,A.R. Rahman;Sanah Moidutty,7/6/2016,238688,58,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"tamil pop,kollywood,bollywood,sufi,hindi pop,desi,malayalam pop,indian indie,mollywood",T-Series,0.499,0.541,11,-10.463,1,0.0448,0.744,0.00167,0.0579,0.381,81.198,4
spotify:track:0gPgdRfB4jdGrlyXS0Vx78,Khuda Jaane,Bachna Ae Haseeno,Vishal-Shekhar;KK;Shilpa Rao;Anvita Dutt Guptan,7/5/2008,333583,75,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"bollywood,desi,hindi pop",YRF Music,0.404,0.634,8,-5.979,1,0.0398,0.411,0.000526,0.106,0.702,78.508,4
spotify:track:62kyw2ux2p0CZ7pKWtM6QO,Tujhko Jo Paaya,Crook (Original Motion Picture Soundtrack),Pritam;Mohit Chauhan,9/3/2010,184826,57,FALSE,31oqguuswg2pr7u2qrr6dgxnpr3i,2/26/2022,"bollywood,hindi pop,desi,sufi",Sony Music Entertainment India Pvt. Ltd.,0.598,0.236,9,-9.733,1,0.0363,0.845,0,0.109,0.413,149.839,4
