Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Explicit,Added At,Record Label,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Liveness,Valence,Tempo,Time Signature,artwork_url
spotify:track:3Z5lD2q7QQXrz0kb4TImfn,Main Tera Main Tera Lofi Flip,Main Tera Main Tera Lofi Flip,Swattrex,12/21/2021,317899,FALSE,2/26/2022,Rex,56,0.471,0.327,8,-18.382,1,0.0395,0.74,0.103,0.354,108.728,4,https://i.scdn.co/image/ab67616d0000b2735e8df31f9d4eaa0d2845f0c0
spotify:track:6bdpj89aYEBjhpsenXAsmO,Enna Sona,OK Jaanu (Original Motion Picture Soundtrack),A.R. Rahman,1/4/2017,213632,FALSE,2/26/2022,Sony Music Entertainment India Pvt. Ltd.,72,0.717,0.415,7,-9.875,0,0.0302,0.637,0.0976,0.379,100.021,4,https://i.scdn.co/image/ab67616d0000b273007759a309e7364ffc5f664a
spotify:track:6bdpj89aYEBjhpsenXAsmO,Enna Sona,OK Jaanu (Original Motion Picture Soundtrack),Arijit Singh,1/4/2017,213632,FALSE,2/26/2022,Sony Music Entertainment India Pvt. Ltd.,72,0.717,0.415,7,-9.875,0,0.0302,0.637,0.0976,0.379,100.021,4,https://i.scdn.co/image/ab67616d0000b273007759a309e7364ffc5f664a
spotify:track:2tjWCe2W7sgvS3C8NHcdtI,"Duniyaa (From ""Luka Chuppi"")","Duniyaa (From ""Luka Chuppi"")",Akhil,2/22/2019,222500,FALSE,2/26/2022,T-Series,69,0.435,0.658,7,-5.949,0,0.0368,0.699,0.125,0.524,77.17,4,https://i.scdn.co/image/ab67616d0000b2737b93fd8b0ade33ceb9d536de
spotify:track:2tjWCe2W7sgvS3C8NHcdtI,"Duniyaa (From ""Luka Chuppi"")","Duniyaa (From ""Luka Chuppi"")",Dhvani Bhanushali,2/22/2019,222500,FALSE,2/26/2022,T-Series,69,0.435,0.658,7,-5.949,0,0.0368,0.699,0.125,0.524,77.17,4,https://i.scdn.co/image/ab67616d0000b2737b93fd8b0ade33ceb9d536de
spotify:track:2tjWCe2W7sgvS3C8NHcdtI,"Duniyaa (From ""Luka Chuppi"")","Duniyaa (From ""Luka Chuppi"")",Kunaal Vermaa,2/22/2019,222500,FALSE,2/26/2022,T-Series,69,0.435,0.658,7,-5.949,0,0.0368,0.699,0.125,0.524,77.17,4,https://i.scdn.co/image/ab67616d0000b2737b93fd8b0ade33ceb9d536de
spotify:track:2tjWCe2W7sgvS3C8NHcdtI,"Duniyaa (From ""Luka Chuppi"")","Duniyaa (From ""Luka Chuppi"")",Abhijit Vaghani,2/22/2019,222500,FALSE,2/26/2022,T-Series,69,0.435,0.658,7,-5.949,0,0.0368,0.699,0.125,0.524,77.17,4,https://i.scdn.co/image/ab67616d0000b2737b93fd8b0ade33ceb9d536de
spotify:track:2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,5/31/2019,284779,FALSE,2/26/2022,T-Series,78,0.427,0.396,11,-7.556,1,0.0366,0.736,0.11,0.306,70.368,4,https://i.scdn.co/image/ab67616d0000b273ba03ff79dad25f7c3542382f
spotify:track:2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Mithoon,5/31/2019,284779,FALSE,2/26/2022,T-Series,78,0.427,0.396,11,-7.556,1,0.0366,0.736,0.11,0.306,70.368,4,https://i.scdn.co/image/ab67616d0000b273ba03ff79dad25f7c3542382f
spotify:track:0l6g8Z8mqGbGXFOjigYetD,Hawayein,Jab Harry Met Sejal (Original Motion Picture Soundtrack),Pritam,8/3/2017,289999,FALSE,2/26/2022,Sony Music Entertainment India Pvt. Ltd.,75,0.606,0.601,2,-5.576,1,0.0283,0.796,0.127,0.453,125.961,4,https://i.scdn.co/image/ab67616d0000b273a08a13555e245f7f11aba13f
