Track Name,artwork_url
Main Tera Main Tera Lofi Flip,https://i.scdn.co/image/ab67616d0000b2735e8df31f9d4eaa0d2845f0c0
Enna Sona,https://i.scdn.co/image/ab67616d0000b273007759a309e7364ffc5f664a
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
"Duniyaa (From ""Luka Chuppi"")",https://i.scdn.co/image/ab67616d0000b2737b93fd8b0ade33ceb9d536de
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",https://i.scdn.co/image/ab67616d0000b273ba03ff79dad25f7c3542382f
Hawayein,https://i.scdn.co/image/ab67616d0000b273a08a13555e245f7f11aba13f
"Mast Magan (From ""2 States"")",https://i.scdn.co/image/ab67616d0000b273614a583a490e23b29821b2ed
Love You Zindagi,https://i.scdn.co/image/ab67616d0000b27349079e6945b600abe668cae4
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
"Humdard (From ""Ek Villain"")",https://i.scdn.co/image/ab67616d0000b2737569cbe3695608074d9fd389
Pehla Pyaar,https://i.scdn.co/image/ab67616d0000b273c5545f737b16ad5ee767b62a
Pee Loon,https://i.scdn.co/image/ab67616d0000b273df934f4de5f8dd46f8d75f5f
"Mere Sohneya (From ""Kabir Singh"")",https://i.scdn.co/image/ab67616d0000b2738ae7ce46d1896e3e0fb86e70
"Kaise Hua (From ""Kabir Singh"")",https://i.scdn.co/image/ab67616d0000b273ce1f4349305971b5beb75fcd
"Jeena Jeena (From ""Badlapur"")",https://i.scdn.co/image/ab67616d0000b273831836ff72925b6e04f1f927
Shayad,https://i.scdn.co/image/ab67616d0000b273095191f6b96fd9eff585befc
Raabta,https://i.scdn.co/image/ab67616d0000b273e810a88d506b30bdc0935247
Tum Se Hi,https://i.scdn.co/image/ab67616d0000b27352fe6875028c892308ffc2f7
"Raabta (Title Track) [From ""Raabta""]",https://i.scdn.co/image/ab67616d0000b2731bcc10d3bd1d77d7c3f164c6
Mera Mann Kehne Laga,https://i.scdn.co/image/ab67616d0000b27338a1f0f963bd1fbc349dd1e6
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
"Nai Lagda (From ""Notebook"")",https://i.scdn.co/image/ab67616d0000b2732a777a3754573e85dad3e9d7
"Darasal (From ""Raabta"")",https://i.scdn.co/image/ab67616d0000b2732c1f340fb6af431e9365a6bf
tere bina,https://i.scdn.co/image/ab67616d0000b2730504fdf58bae8cd52dd13047
"Ik Vaari Aa (From ""Raabta"")",https://i.scdn.co/image/ab67616d0000b273ece89c7bf7d8141a1e8eef42
Ik Junoon (Paint It Red),https://i.scdn.co/image/ab67616d0000b2730acb5a72549287bf33b51b71
tere bina - Acoustic,https://i.scdn.co/image/ab67616d0000b273cba5ee0cdc6758b036ce1ede
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Befikar,https://i.scdn.co/image/ab67616d0000b273a24df0e5e9f33c928a962727
Ye Tune Kya Kiya,https://i.scdn.co/image/ab67616d0000b273fe77bd21eb38ff74b5f21524
Tu Hi Hai,https://i.scdn.co/image/ab67616d0000b27349079e6945b600abe668cae4
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Tu Jaane Na,https://i.scdn.co/image/ab67616d0000b273c2d2a2177df997886b1a4eb9
"Tum Tak (From ""Raanjhanaa"")",https://i.scdn.co/image/ab67616d0000b273a00249b8bf77312ec156dd4b
Saudebazi (Encore),https://i.scdn.co/image/ab67616d0000b273b425c9dadc417923e894eb59
Tu Hai,https://i.scdn.co/image/ab67616d0000b273dfbee774ceae5669957c52bd
Khuda Jaane,https://i.scdn.co/image/ab67616d0000b273a08c7022ea424b2f048b46e9
Tujhko Jo Paaya,https://i.scdn.co/image/ab67616d0000b273c32737e2c7f606beecbf1bae
"Raanjhanaa (From ""Raanjhanaa"")",https://i.scdn.co/image/ab67616d0000b273a00249b8bf77312ec156dd4b
Tera Hone Laga Hoon,https://i.scdn.co/image/ab67616d0000b273c2d2a2177df997886b1a4eb9
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Dildaara (Stand By Me),https://i.scdn.co/image/ab67616d0000b27344aa56e23e3a89802e6c6347
Hey Ya !,https://i.scdn.co/image/ab67616d0000b2730e0eae488b99b7c7b901f659
"Jaise Mera Tu (From ""Happy Ending"")",https://i.scdn.co/image/ab67616d0000b273394a020c0dcbf4669621580d
Kya Mujhe Pyar Hai,https://i.scdn.co/image/ab67616d0000b273238513a0da74c837b2eeb8d7
Uff Teri Adaa,https://i.scdn.co/image/ab67616d0000b2730e0eae488b99b7c7b901f659
Mishri,https://i.scdn.co/image/ab67616d0000b273aac0305160f2e950afa2ff5f
Ishq Bulaava,https://i.scdn.co/image/ab67616d0000b2732025db071cd9dd7e8023e01e
Adhoore,https://i.scdn.co/image/ab67616d0000b2734c82108d938074902385f29d
Zehnaseeb,https://i.scdn.co/image/ab67616d0000b2732025db071cd9dd7e8023e01e
Sawaar Loon,https://i.scdn.co/image/ab67616d0000b2730e26db222796cf4207425abc
Tu Hi Mera,https://i.scdn.co/image/ab67616d0000b27371da5e89467bd75d2ed9f1fa
Saadi Galli Aaja,https://i.scdn.co/image/ab67616d0000b27338a1f0f963bd1fbc349dd1e6
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Gulabi,https://i.scdn.co/image/ab67616d0000b27358ce01f471e8550949a5ac78
Je T'aime,https://i.scdn.co/image/ab67616d0000b273859d36ce7ef79353a6e3ddee
Jhak Maar Ke,https://i.scdn.co/image/ab67616d0000b273daa89593cc2cde9651665d03
You And Me,https://i.scdn.co/image/ab67616d0000b273a35daeab41d7d6da14cc809c
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Jiyein Kyun ? - Lofi Mix,https://i.scdn.co/image/ab67616d0000b273e39388ba8eadf58476135087
Dariya Lofi Flip,https://i.scdn.co/image/ab67616d0000b273fb48d6dc965cdda73a16f08d
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Ajab Si,https://i.scdn.co/image/ab67616d0000b273675b3f7dea80153c73581e5e
Sajdaa,https://i.scdn.co/image/ab67616d0000b2737881b6fe1d303657f9d409eb
Mere Bina,https://i.scdn.co/image/ab67616d0000b273c32737e2c7f606beecbf1bae
Main Agar Kahoon,https://i.scdn.co/image/ab67616d0000b273675b3f7dea80153c73581e5e
"Ek Ladki Ko Dekha Toh Aisa Laga (From ""Ek Ladki Ko Dekha Toh Aisa Laga"")",https://i.scdn.co/image/ab67616d0000b2735753692ad72d2abde27bbd94
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Tujh Mein Rab Dikhta Hai,https://i.scdn.co/image/ab67616d0000b2731555fec10000486f9331fbc8
"Jeene Laga Hoon (From ""Ramaiya Vastavaiya"")",https://i.scdn.co/image/ab67616d0000b27387118f5e1463ce140fde1a0c
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Samjhawan,https://i.scdn.co/image/ab67616d0000b273d1f803cbe9c43700b4ea6895
Haule Haule,https://i.scdn.co/image/ab67616d0000b2731555fec10000486f9331fbc8
Tum Kyu Chale Ate Ho (Lofi),https://i.scdn.co/image/ab67616d0000b273aec611ea6e0513d3a2433d8d
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
"Doobey (From ""Gehraiyaan"")",https://i.scdn.co/image/ab67616d0000b273a6dd88a097d77eaa6a5f517f
,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Rabba Main Toh Mar Gaya Oye,https://i.scdn.co/image/ab67616d0000b273921798bf86a4d458a45f680a
Chand Sifarish,https://i.scdn.co/image/ab67616d0000b273d2be316742edcc853ea55141
